id,total,comm
2 - 0,4.108708,3.654896
2 - 1,4.108611,0.264497
4 - 0,3.192157,2.598118
4 - 1,3.193075,1.821657
4 - 2,3.192078,1.730264
4 - 3,3.193017,1.738312
8 - 0,3.076022,2.809610
8 - 1,3.074646,2.452219
8 - 2,3.074443,2.479581
8 - 3,3.074608,2.418257
8 - 4,3.074583,2.399214
8 - 5,3.074191,2.379576
8 - 6,3.074350,2.362770
8 - 7,3.074081,2.353665
