id,total,comm
2 - 0,0.010145,0.008660
2 - 1,0.010192,0.004279
4 - 0,0.008341,0.006845
4 - 1,0.008311,0.005634
4 - 2,0.008350,0.006297
4 - 3,0.008329,0.006069
8 - 0,0.009137,0.007538
8 - 1,0.009165,0.008376
8 - 2,0.009120,0.008200
8 - 3,0.009182,0.007897
8 - 4,0.009154,0.007808
8 - 5,0.009131,0.007703
8 - 6,0.009173,0.007520
8 - 7,0.009182,0.008515
