id,total,comm
2 - 0,3.573264,3.295376
2 - 1,3.575211,0.401644
4 - 0,3.694887,3.405764
4 - 1,3.694764,2.453804
4 - 2,3.693663,2.806406
4 - 3,3.694898,2.631264
8 - 0,3.699455,3.403697
8 - 1,3.700797,3.407939
8 - 2,3.700430,3.341857
8 - 3,3.701841,3.254650
8 - 4,3.701325,3.167089
8 - 5,3.700445,3.076578
8 - 6,3.700171,2.988136
8 - 7,3.699976,3.453036
